global_q,page,section_q,modality,llm_only_correct,precision_correct,deterministic_label,evidence_status,evidence_source,comparison,blocking_reasons,chosen_option,question_crop_path,option_crop_paths,green_fractions,question_text_short
1,1,1,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q001_opt_4_option.png,1:0.00032;2:0.00103;3:0.00100;4:0.00854,Select the set of letters that when sequentially placed in the blanks of the given letter series will complete the series. k_lmml_mk_mmk_lkkl_m
2,1,2,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q002_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q002_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q002_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q002_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p01_q002_opt_4_option.png,1:0.00006;2:0.00002;3:0.00000;4:0.00818,Arrange the following words in the order in which they appear in an English dictionary. 1. Rightly 2. Rigidly 3. Righteous 4. Rigour 5. Rights
3,2,3,visual_options,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q003_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q003_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q003_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q003_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q003_opt_4_option.png,1:0.00001;2:0.00000;3:0.00466;4:0.00000,Select the figure that can replace the question mark (?) in the following series.
4,2,4,text_only,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q004_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q004_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q004_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q004_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q004_opt_4_option.png,1:0.00931;2:0.00025;3:0.00003;4:0.00000,Study the given pattern carefully and select the number that can replace the question mark (?) in it. 6 21 14 40 500 ? 8 25 7
5,2,5,text_only,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q005_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q005_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q005_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q005_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p02_q005_opt_4_option.png,1:0.00085;2:0.00000;3:0.00008;4:0.00909,"Four words have been given, out of which three are alike in some manner, while one is different. Select the odd word."
6,3,6,visual_options,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q006_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q006_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q006_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q006_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q006_opt_4_option.png,1:0.00385;2:0.00000;3:0.00000;4:0.00000,The sequence of folding a piece of paper and the manner in which the folded paper has been cut is shown in the following figures. How would this paper look when unfolded?
7,3,7,text_only,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q007_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q007_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q007_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q007_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p03_q007_opt_4_option.png,1:0.00023;2:0.00000;3:0.01312;4:0.00048,Select the option that is related to the third number in the same way as the second number is related to the first number and the sixth number is related to the fifth number. 12 : 
8,4,8,visual_stimulus,1,1,1,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,1,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q008_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q008_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q008_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q008_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q008_opt_4_option.png,1:0.01063;2:0.00000;3:0.00000;4:0.00002,"The given Venn diagram represents employees in an organisation: The triangle represents executives, the circle represents females, the rectangle represents MBAs and the square repr"
9,4,9,math_formula,3,3,3,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q009_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q009_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q009_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q009_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q009_opt_4_option.png,1:0.00000;2:0.00000;3:0.01166;4:0.00000,Which two numbers should be interchanged to make the given equation correct? 9 + 7 × 5 - 18 ÷ 2 = 3 × 4 - 10 + 45 ÷ 5
10,4,10,visual_options,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,4,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q010_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q010_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q010_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q010_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p04_q010_opt_4_option.png,1:0.00031;2:0.00009;3:0.00065;4:0.00714,Which of the option figures is the exact mirror image of the given figure when the mirror is held at the right side? RST2PK9LOX
11,5,11,dice,4,4,4,PASS_WITH_EVIDENCE,rgb_hsv_option_crop,same_auto_accepted,,3,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q011_question.png,C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q011_opt_1_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q011_opt_2_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q011_opt_3_option.png;C:\experiments\ssc\extraction_batch\tier1_gemini\2019_tier1_prepp_shift1\assets\question_crops\2019_tier1_prepp_shift1_p05_q011_opt_4_option.png,1:0.00000;2:0.00000;3:0.00000;4:0.00838,Two positions of the same dice are shown. Select the number that will be on the face opposite to the one showing 6.
