candidate_id,year,tier,filename,http_status,file_size,local_check,gemini_check,user_note_status,recommendation,pages,answer_score,notice_score,notes,url,error
2019_tier1_prepp_shift1,2019,tier1,2019_tier1_prepp_shift1.pdf,200,3352732,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,24,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/1c729eca123e38b7a49ba5bc672685cb.pdf,
2019_tier2_prepp_english,2019,tier2_paper1,2019_tier2_prepp_english.pdf,200,1748056,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,84,11,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_English_Tier_II_Paper_2019__3d86aa9c9f31064f397a219c9c1d9329.pdf,
2019_tier2_prepp_quant,2019,tier2_paper1,2019_tier2_prepp_quant.pdf,200,2625660,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,28,0,"all the questions are rendered correctly , the correct answers are in green color, the questions are also mathematics so extraction could be a bit difficult because of the equations ",https://cdn-images.prepp.in/public/image/SSC_CGL_2019_TIER_2_NOVEMBER_15_2020_SHIFT_1__c18b66d136a5c8d6316ea5c036c30b87.pdf,
2020_tier1_prepp_shift1,2020,tier1,2020_tier1_prepp_shift1.pdf,200,2292451,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,27,28,0,"all the questions are rendered correctly , the correct answers are in green color, diagrams extraction could be a bit difficult",https://cdn-images.prepp.in/public/image/f154ffde8037864c52d42e547e886258.pdf,
2021_tier1_prepp_shift1,2021,tier1,2021_tier1_prepp_shift1.pdf,200,2516403,probable_question_only_or_weak_answers,gemini_question_only,user_notes_support_use,do_not_use_as_answer_key,44,0,0,no answer keys ib the pdf,https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_1_Shift_1_English_Question_Paper_and_Answer_Key_PDF_Apr_11_2022_1_44_a041005c72e86dc571daf908af7f45b2.pdf,
2021_tier2_prepp_english,2021,tier2_paper1,2021_tier2_prepp_english.pdf,200,2408519,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,87,16,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_II_English_8_Aug_2022_d1e9e1351ee87dfa7f29d32df56a00f1.pdf,
2022_tier1_prepp_shift1,2022,tier1,2022_tier1_prepp_shift1.pdf,200,3191354,manual_review,gemini_actual_answer_key_or_solved_paper,user_notes_support_use,user_verified_candidate,27,0,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/0f90e69f5442c4671dd82906d5ee36e0.pdf,
2022_tier2_prepp_paper1,2022,tier2_paper1,2022_tier2_prepp_paper1.pdf,200,1803448,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,53,36,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/2nd_March_English_dc191db4d9c5b557affc36665e8f549f.pdf,
2023_tier1_prepp_shift1,2023,tier1,2023_tier1_prepp_shift1.pdf,200,985346,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,24,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_July_14_Shift_1_0fcbfcb87b5c32678d38fc8592d8751f.pdf,
2023_tier2_prepp_paper1,2023,tier2_paper1,2023_tier2_prepp_paper1.pdf,200,3161857,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,56,39,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_Tier_2_Oct_26_2023_Shift_1_Question_Paper_with_Answers_a7b5f3fda97b11660f9d32d722db5e7e.pdf,
