pdf,page,question_number,modality,has_correct_label,blocking_reasons,evidence_source
2021_tier1_prepp_shift1,4,5,math_formula,True,low_confidence|math_parse_lossy,gemini_vision_review
2021_tier1_prepp_shift1,7,11,text_only,True,low_confidence,grok_ai_generated_answer
2021_tier1_prepp_shift1,8,12,visual_options,True,low_confidence,gemini_vision_review
2021_tier1_prepp_shift1,27,64,text_only,True,low_confidence,gemini_vision_review
2021_tier1_prepp_shift1,29,None,math_formula,False,correct_option_unresolved_or_conflict,unavailable
2021_tier1_prepp_shift1,30,70,graph_chart,True,low_confidence,gemini_vision_review
2021_tier1_prepp_shift1,31,73,math_formula,True,low_confidence|math_parse_lossy,gemini_vision_review
2021_tier1_prepp_shift1,40,95,text_only,True,low_confidence,gemini_vision_review
2021_tier1_prepp_shift1,43,100,text_only,True,low_confidence,gemini_vision_review
2024_tier1_appx_answer_key,1,7,math_formula,True,malformed_options,gemini_vision_review
2024_tier1_appx_answer_key,2,None,math_formula,False,correct_option_unresolved_or_conflict,unavailable
2024_tier1_appx_answer_key,3,20,math_formula,True,malformed_options,gemini_vision_review
2024_tier1_appx_answer_key,4,None,math_formula,False,correct_option_unresolved_or_conflict,unavailable
2024_tier1_appx_answer_key,5,None,math_formula,False,correct_option_unresolved_or_conflict,unavailable
2024_tier1_prepp_shift1,6,9,dice,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,7,11,visual_options,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,10,18,visual_options,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,25,56,table_di,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,35,81,visual_options,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,37,86,graph_chart,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,39,91,table_di,True,low_confidence,gemini_vision_review
2024_tier1_prepp_shift1,43,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier1_prepp_shift1,43,99,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,7,16,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,8,19,math_formula,True,low_confidence|math_parse_lossy,gemini_vision_review
2024_tier2_prepp_paper1,10,25,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,11,28,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,15,35,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,17,38,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,18,39,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,21,46,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,22,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,22,48,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,23,50,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,24,51,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,28,59,visual_options,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,30,63,graph_chart,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,35,73,graph_chart,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,37,78,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,44,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,45,94,dice,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,47,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,49,98,math_formula,True,low_confidence|math_parse_lossy,gemini_vision_review
2024_tier2_prepp_paper1,50,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,52,None,text_only,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,53,None,table_di,False,correct_option_unresolved_or_conflict,unavailable
2024_tier2_prepp_paper1,58,116,text_only,True,low_confidence,gemini_vision_review
2024_tier2_prepp_paper1,68,143,text_only,True,low_confidence,gemini_vision_review
